Date,Adj Close,Close,High,Low,Open,Volume
1/3/2023,123.3306503,125.0699997,130.8999939,124.1699982,130.2799988,112117500
1/4/2023,124.6027069,126.3600006,128.6600037,125.0800018,126.8899994,89113600
1/5/2023,123.2813263,125.0199966,127.7699966,124.7600021,127.1299973,80962700
1/6/2023,127.8173523,129.6199951,130.2899933,124.8899994,126.0100021,87754700
1/9/2023,128.3399963,130.1499939,133.4100037,129.8899994,130.4700012,70790800
1/10/2023,128.911911,130.7299957,131.2599945,128.1199951,130.2599945,63896200
1/11/2023,131.6335754,133.4900055,133.5099945,130.4600067,131.25,69458900
1/12/2023,131.5546722,133.4100037,134.2599945,131.4400024,133.8800049,71379600
1/13/2023,132.8858795,134.7599945,134.9199982,131.6600037,132.0299988,57809700
1/17/2023,134.0494843,135.9400024,137.2899933,134.1300049,134.8300018,63646600
1/18/2023,133.3296509,135.2100067,138.6100006,135.0299988,136.8200073,69672800
1/19/2023,133.3887787,135.2700043,136.25,133.7700043,134.0800018,58280400
1/20/2023,135.9526215,137.8699951,138.0200043,134.2200012,135.2799988,80223600
1/23/2023,139.1476135,141.1100006,143.3200073,137.8999939,138.1199951,81760300
1/24/2023,140.5477905,142.5299988,143.1600037,140.3000031,140.3099976,66435100
1/25/2023,139.8871613,141.8600006,142.4299927,138.8099976,140.8899994,65799300
1/26/2023,141.9579468,143.9600067,144.25,141.8999939,143.1699982,54105100
1/27/2023,143.9005585,145.9299927,147.2299957,143.0800018,143.1600037,70555800
1/30/2023,141.0112915,143,145.5500031,142.8500061,144.9600067,64015300
1/31/2023,142.2833405,144.2899933,144.3399963,142.2799988,142.6999969,65874500
2/1/2023,143.4075012,145.4299927,146.6100006,141.3200073,143.9700012,77663600
2/2/2023,148.7225189,150.8200073,151.1799927,148.1699982,148.8999939,118339000
2/3/2023,152.3513641,154.5,157.3800049,147.8300018,148.0299988,154357300
2/6/2023,149.6198883,151.7299957,153.1000061,150.7799988,152.5700073,69858300
2/7/2023,152.4992828,154.6499939,155.2299957,150.6399994,150.6399994,83322600
2/8/2023,149.8072357,151.9199982,154.5800018,151.1699982,153.8800049,64120100
2/9/2023,148.7718506,150.8699951,154.3300018,150.4199982,153.7799988,56007100
2/10/2023,149.1372528,151.0099945,151.3399963,149.2200012,149.4600067,57450700
2/13/2023,151.9420624,153.8500061,154.2599945,150.9199982,150.9499969,62199000
2/14/2023,151.3000793,153.1999969,153.7700043,150.8600006,152.1199951,61707600
2/15/2023,153.4036865,155.3300018,155.5,152.8800049,153.1100006,65573800
2/16/2023,151.8037872,153.7100067,156.3300018,153.3500061,153.5099945,68167900
2/17/2023,150.6581573,152.5500031,153,150.8500061,152.3500061,59144100
2/21/2023,146.6386261,148.4799957,151.3000031,148.4100037,150.1999969,58867200
2/22/2023,147.0632935,148.9100037,149.9499969,147.1600037,148.8699951,51011300
2/23/2023,147.5471954,149.3999939,150.3399963,147.2400055,150.0899963,48394200
2/24/2023,144.890564,146.7100067,147.1900024,145.7200012,147.1100006,55469600
2/27/2023,146.085556,147.9199982,149.1699982,147.4499969,147.7100067,44998500
2/28/2023,145.5819244,147.4100037,149.0800018,146.8300018,147.0500031,50547000
3/1/2023,143.5079651,145.3099976,147.2299957,145.0099945,146.8300018,55479000
3/2/2023,144.1005096,145.9100037,146.7100067,143.8999939,144.3800049,52238100
3/3/2023,149.1569824,151.0299988,151.1100006,147.3300018,148.0399933,70732300
3/6/2023,151.9222717,153.8300018,156.3000031,153.4600067,153.7899933,87558000
3/7/2023,149.7199554,151.6000061,154.0299988,151.1300049,153.6999969,56182000
3/8/2023,150.9741821,152.8699951,153.4700012,151.8300018,152.8099976,47204800
3/9/2023,148.7224579,150.5899963,154.5399933,150.2299957,153.5599976,53833600
3/10/2023,146.658371,148.5,150.9400024,147.6100006,150.2100067,68572400
