Date,Adj Close,Close,High,Low,Open,Volume
1/3/2023,234.8089447,239.5800018,245.75,237.3999939,243.0800018,25740000
1/4/2023,224.537674,229.1000061,232.8699951,225.9600067,232.2799988,50623400
1/5/2023,217.8828888,222.3099976,227.5500031,221.7599945,227.1999969,39585600
1/6/2023,220.4506836,224.9299927,225.7599945,219.3500061,223,43613600
1/9/2023,222.5970459,227.1199951,231.2400055,226.4100037,226.4499969,27369800
1/10/2023,224.2926331,228.8500061,231.3099976,227.3300018,227.7599945,27033900
1/11/2023,231.0747986,235.7700043,235.9499969,231.1100006,231.2899933,28669300
1/12/2023,233.7602386,238.5099945,239.8999939,233.5599976,235.2599945,27269500
1/13/2023,234.4659271,239.2299957,239.3699951,234.9199982,237,21333300
1/17/2023,235.5636139,240.3500061,240.9100037,237.0899963,237.9700012,29831300
1/18/2023,231.1140289,235.8099976,242.3800049,235.5200043,241.5700073,30028700
1/19/2023,227.3112793,231.9299927,235.5200043,230.6799927,233.7799988,28623000
1/20/2023,235.4361877,240.2200012,240.7400055,234.5099945,234.8600006,35389800
1/23/2023,237.7492371,242.5800018,245.1699982,239.6499939,241.1000061,31934000
1/24/2023,237.2199707,242.0399933,243.9499969,240.4400024,242.5,40234400
1/25/2023,235.8184357,240.6100006,243.3000031,230.8999939,234.4799957,66526600
1/26/2023,243.061264,248,248.3099976,242,243.6499939,33454500
1/27/2023,243.2180939,248.1600037,249.8300018,246.8300018,248.9900055,26498900
1/30/2023,237.8766327,242.7100067,245.6000061,242.1999969,244.5099945,25867400
1/31/2023,242.875061,247.8099976,247.9499969,242.9499969,243.4499969,26541100
2/1/2023,247.7166901,252.75,255.1799927,245.4700012,248,31259900
2/2/2023,259.3306885,264.6000061,264.6900024,257.25,258.8200073,39940400
2/3/2023,253.2051849,258.3500061,264.2000122,257.1000061,259.5400085,29077300
2/6/2023,251.6566162,256.769989,258.2999878,254.7799988,257.4400024,22518000
2/7/2023,262.2318115,267.5599976,268.769989,260.0799866,260.5299988,50841400
2/8/2023,261.4183044,266.730011,276.7600098,266.2099915,273.2000122,54686000
2/9/2023,258.3701782,263.6199951,273.980011,262.7999878,273.7999878,42375100
2/10/2023,257.8605957,263.1000061,264.0899963,260.6600037,261.5299988,25818500
2/13/2023,265.9168701,271.3200073,274.6000061,267.1499939,267.6400146,44630900
2/14/2023,266.7499695,272.1700134,274.9700012,269.2799988,272.6700134,37047900
2/15/2023,264.6178284,269.3200073,270.730011,266.1799927,268.3200073,28922400
2/16/2023,257.572998,262.1499939,266.7399902,261.8999939,264.019989,29603600
