Date,Adj Close,Close,High,Low,Open,Volume
1/3/2023,1839.699951,1839.699951,1839.699951,1836.199951,1836.199951,29
1/4/2023,1852.800049,1852.800049,1859.099976,1845.599976,1845.599976,25
1/5/2023,1834.800049,1834.800049,1855.199951,1834.800049,1855.199951,24
1/6/2023,1864.199951,1864.199951,1868.199951,1835.300049,1838.400024,26
1/9/2023,1872.699951,1872.699951,1880,1867,1867,62
1/10/2023,1871.599976,1871.599976,1878.099976,1871.599976,1877.800049,101
1/11/2023,1874.599976,1874.599976,1877.800049,1873.099976,1873.099976,1236
1/12/2023,1895.5,1895.5,1897.400024,1877.199951,1877.199951,59
1/13/2023,1918.400024,1918.400024,1920.900024,1898.300049,1899,512
1/17/2023,1907.199951,1907.199951,1920.099976,1905.199951,1920.099976,706
1/18/2023,1904.400024,1904.400024,1911.099976,1903.099976,1911.099976,1027
1/19/2023,1922.099976,1922.099976,1931.800049,1922.099976,1922.099976,371
1/20/2023,1926.400024,1926.400024,1928.5,1921.400024,1922.099976,1346
1/23/2023,1927.099976,1927.099976,1927.099976,1915,1926.5,218
1/24/2023,1933.900024,1933.900024,1936.800049,1931.800049,1931.800049,201
1/25/2023,1941.199951,1941.199951,1941.199951,1939.800049,1941.199951,7
1/26/2023,1929.099976,1929.099976,1937.099976,1927.099976,1936.599976,131
1/27/2023,1928.599976,1928.599976,1928.599976,1928.599976,1928.599976,150902
1/30/2023,1922.900024,1922.900024,1933.599976,1920.300049,1928.300049,27220
1/31/2023,1929.5,1929.5,1930.400024,1900.599976,1923,1910
2/1/2023,1927.800049,1927.800049,1955,1922,1927.199951,2290
2/2/2023,1916.300049,1916.300049,1959.099976,1911.300049,1952.300049,748
2/3/2023,1862.900024,1862.900024,1917,1861.5,1912.400024,992
2/6/2023,1866.199951,1866.199951,1880,1863.400024,1865.599976,424
2/7/2023,1871.699951,1871.699951,1875.699951,1868,1870,297
2/8/2023,1877.400024,1877.400024,1880.400024,1872.099976,1872.099976,230
2/9/2023,1866.199951,1866.199951,1884.599976,1859.800049,1875.300049,223
2/10/2023,1862.800049,1862.800049,1863.5,1852.400024,1861.599976,27
2/13/2023,1851.900024,1851.900024,1861,1850,1859,569
2/14/2023,1854,1854,1862,1846.199951,1854.099976,656
2/15/2023,1834.199951,1834.199951,1842,1828.199951,1842,368
